name,height,long,lat
Beinn Sgulaird,937.0,-5.170376786334634,56.566212673972004
Sron a'Choire Ghairbh,937.0,-4.928768270570795,57.00783136480721
Beinn Tarsuinn,937.0,-5.291601733678141,57.702022613990806
A'Bhuidheanach Bheag,936.1,-4.198844317418764,56.870404681293586
Beinn na Lap,935.0,-4.660003406842843,56.78938616190721
Meall a'Chrasgaidh,934.0,-5.048752368706154,57.71287505848585
Am Basteir,934.0,-6.202981915504229,57.247845658657525
The Cairnwell,933.0,-3.421283984373269,56.87949840231726
Maol Chean-dearg,933.0,-5.465544078957522,57.4916702407962
Fionn Bheinn,933.0,-5.102719290433186,57.61113865076162
Beinn Chabhair,932.1,-4.641498154620545,56.32576771075861
Meall Buidhe,932.0,-4.448637295486591,56.61723634221794
Beinn Bhreac,931.0,-3.5534745501500486,57.05507323945711
Ben Chonzie,931.0,-3.9920616586442828,56.453851429648374
A'Chailleach,929.2,-4.17929254020963,57.10957448799389
Bla Bheinn [Blaven] [Blabheinn],929.0,-6.093214875839549,57.21949158129207
Mayar,928.0,-3.246323597072796,56.84895195929098
Meall nan Eun,928.0,-4.942976278892118,56.56117499027805
Moruisg,928.0,-5.170634339163579,57.4997022100766
Beinn Narnain,927.0,-4.789019668693677,56.22093228987685
Eididh nan Clach Geala,927.0,-4.934179644967236,57.81347733895099
Ben Hope,927.0,-4.607851660025195,58.41311461971262
Sgurr nan Eag,926.2,-6.21126276144641,57.195722421440955
Beinn Liath Mhor,926.0,-5.400614158158722,57.512050848405146
Seana Bhraigh,926.0,-4.896632752299645,57.84731593850376
Geal Charn,926.0,-4.373574482626676,57.057426150863876
Meall a'Choire Leith,925.5,-4.259633744680742,56.56631426439484
Buachaille Etive Beag - Stob Coire Raineach,925.0,-4.951720250649361,56.649935479647674
Creag Pitridh,924.0,-4.484986299656865,56.89971164571354
An Coileachan,923.9,-4.949500169166744,57.667616847111425
Sgurr nan Each,923.0,-5.046376751660618,57.68101715186534
Beinn Alligin - Tom na Gruagaich,922.0,-5.5819044074254105,57.58048357010012
An Socach,921.0,-5.171294401351289,57.257518602967295
Carn Sgulain,920.3,-4.176990408710786,57.12437802035749
Sgiath Chuil,920.0,-4.495664036025384,56.45314638822811
Gairich,919.0,-5.255839957819685,57.04485527307742
Ruadh Stac Mor,918.7,-5.329284813219432,57.72675967302525
Meall na Teanga,918.0,-4.93095130537154,56.989103186768624
Sgurr a'Mhadaidh,918.0,-6.231929794081794,57.23078092229667
Creag nan Damh,918.0,-5.33460902230459,57.1472414327049
A'Ghlas-bheinn,918.0,-5.303667498501815,57.25506039044529
Geal-charn,917.1,-4.30448820916178,56.87443743332703
Beinn a'Chleibh,916.3,-4.835647606474399,56.39021912219838
Ben Vane,915.76,-4.781656155659272,56.24976211680512
Carn Aosda,915.3,-3.4232787845463455,56.89571068207761
Beinn Teallach,914.6,-4.694763844273411,56.93592483154609
